model,experiment,feature_group,level,test_metrics,n_train,n_test,seeds,n_seeds
MLPSklearn,A,ALL_FEATURES,region,"[{'party': 'UR_share', 'mae': 10.40054760047811, 'n_samples': None}, {'party': 'KPRF_share', 'mae': 4.892859309621551, 'n_samples': None}, {'party': 'LDPR_share', 'mae': 5.124878493847602, 'n_samples': None}]",166,83,"[42, 123, 456, 789, 2026]",5
MLPTorch,A,ALL_FEATURES,region,"[{'party': 'UR_share', 'mae': 10.573301902677688, 'n_samples': None}, {'party': 'KPRF_share', 'mae': 7.272935743348761, 'n_samples': None}, {'party': 'LDPR_share', 'mae': 4.554208073916065, 'n_samples': None}]",166,83,"[42, 123, 456, 789, 2026]",5
