model,experiment,feature_group,level,train_metrics,test_metrics,train_federal,test_federal,test_error_distribution,n_train,n_test,feature_columns,target_columns
KNN,B,ALL_FEATURES,region,"[{'mae': 12.922720172954602, 'rmse': 15.112916966524908, 'r2': 0.15331665465646016, 'bias': 12.045080716372796, 'pearson_r': 0.849024198917613, 'spearman_r': 0.7869315582664773, 'party': 'UR_share', 'n_samples': 332}, {'mae': 5.612852443498258, 'rmse': 6.447083271428272, 'r2': -0.22538834480699266, 'bias': 5.186515005959927, 'pearson_r': 0.7987730890562993, 'spearman_r': 0.7662908918576606, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.432155398018439, 'rmse': 5.216220797932626, 'r2': 0.10689417724992567, 'bias': 4.289054091230497, 'pearson_r': 0.8848848438831778, 'spearman_r': 0.8583400092940682, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 16.20214832639105, 'rmse': 18.41427458001539, 'r2': -0.33377613314015897, 'bias': 15.69994948741013, 'pearson_r': 0.838518178977778, 'spearman_r': 0.6842008600288945, 'party': 'UR_share', 'n_samples': 83}, {'mae': 5.315400392547155, 'rmse': 6.865994351101251, 'r2': 0.11217964590704399, 'bias': -3.5609749664142893, 'pearson_r': 0.6274508364927471, 'spearman_r': 0.4791141901787142, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 10.952177198325138, 'rmse': 11.876462361039405, 'r2': -11.050804774013372, 'bias': 10.886123509445452, 'pearson_r': 0.7963601476208509, 'spearman_r': 0.7062027714031794, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 15.69994948741013, 'std_error': 9.68123583327665, 'median_error': 17.417668542617292, 'q25': 7.1354037208446215, 'q75': 23.587292226060484, 'min_error': -9.20765471064567, 'max_error': 33.17765538430859, 'mae': 16.20214832639105, 'rmse': 18.41427458001539}, {'party': 'KPRF_share', 'mean_error': -3.5609749664142893, 'std_error': 5.906064333344757, 'median_error': -3.026516155041719, 'q25': -7.184135817343991, 'q75': 0.9152778529454597, 'min_error': -18.476095965775208, 'max_error': 10.215637514503024, 'mae': 5.315400392547155, 'rmse': 6.865994351101251}, {'party': 'LDPR_share', 'mean_error': 10.886123509445452, 'std_error': 4.7767754603350285, 'median_error': 11.368203262063558, 'q25': 8.318339231377134, 'q75': 13.954311390683102, 'min_error': -1.1150383354597395, 'max_error': 21.129233232150998, 'mae': 10.952177198325138, 'rmse': 11.876462361039405}]",332,83,"['GRP_per_capita_lag1', 'KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'turnout_rate', 'turnout_rate_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
KNN,B,ELECTORAL_ONLY,region,"[{'mae': 13.220377127609952, 'rmse': 15.228338811734995, 'r2': 0.14033452359847765, 'bias': 12.678779708044365, 'pearson_r': 0.8746913012642584, 'spearman_r': 0.8128744828362796, 'party': 'UR_share', 'n_samples': 332}, {'mae': 5.2528083585974175, 'rmse': 6.270410205399728, 'r2': -0.15914853825682895, 'bias': 4.760850713018496, 'pearson_r': 0.7748388285239162, 'spearman_r': 0.7399617904333871, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.2774152033599036, 'rmse': 5.24163367246021, 'r2': 0.09817074536770254, 'bias': 4.0810193925003615, 'pearson_r': 0.8727234249490291, 'spearman_r': 0.8603436647334304, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 14.676011648952427, 'rmse': 17.007863877177442, 'r2': -0.13781919210144178, 'bias': 14.132963881883493, 'pearson_r': 0.814014877029167, 'spearman_r': 0.5716670210619991, 'party': 'UR_share', 'n_samples': 83}, {'mae': 5.919223271915749, 'rmse': 7.090729828929126, 'r2': 0.05310877861339913, 'bias': -2.6878345743217067, 'pearson_r': 0.4765136657917823, 'spearman_r': 0.20069390068504556, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 11.726103496115389, 'rmse': 12.809792864060121, 'r2': -13.019291686732325, 'bias': 11.579968722879507, 'pearson_r': 0.7693891811571321, 'spearman_r': 0.7182566500244459, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 14.132963881883493, 'std_error': 9.519377889447169, 'median_error': 15.670999615428357, 'q25': 5.259040378399359, 'q75': 21.384128170690747, 'min_error': -6.419342507829924, 'max_error': 30.767879256971113, 'mae': 14.676011648952427, 'rmse': 17.007863877177442}, {'party': 'KPRF_share', 'mean_error': -2.6878345743217067, 'std_error': 6.601442533652489, 'median_error': -3.617165867093199, 'q25': -7.207633048411875, 'q75': 1.703113738429204, 'min_error': -17.45863873249805, 'max_error': 11.048770714647674, 'mae': 5.919223271915749, 'rmse': 7.090729828929126}, {'party': 'LDPR_share', 'mean_error': 11.579968722879507, 'std_error': 5.510073657792398, 'median_error': 13.205828571389532, 'q25': 8.963790245857531, 'q75': 15.554227798195793, 'min_error': -3.972533327591684, 'max_error': 18.776879464757066, 'mae': 11.726103496115389, 'rmse': 12.809792864060121}]",332,83,"['KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'turnout_rate', 'turnout_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
KNN,B,ROSSTAT_ONLY,region,"[{'mae': 14.643008745739074, 'rmse': 17.60445068710012, 'r2': -0.1488660111804192, 'bias': 13.367884139972515, 'pearson_r': 0.7307298268870317, 'spearman_r': 0.6471971393350036, 'party': 'UR_share', 'n_samples': 332}, {'mae': 5.034798478935201, 'rmse': 5.863705072757449, 'r2': -0.013657931264482448, 'bias': 4.521479706887429, 'pearson_r': 0.7869292417890172, 'spearman_r': 0.74442521634893, 'party': 'KPRF_share', 'n_samples': 332}, {'mae': 4.0549134813172225, 'rmse': 4.81046460274936, 'r2': 0.24043484272219673, 'bias': 3.6312859667032815, 'pearson_r': 0.8387774533502768, 'spearman_r': 0.7968056418402464, 'party': 'LDPR_share', 'n_samples': 332}]","[{'mae': 18.104912989735038, 'rmse': 20.776764996136365, 'r2': -0.6979682586847509, 'bias': 16.141888936853494, 'pearson_r': 0.5876413891775747, 'spearman_r': 0.4705271138708739, 'party': 'UR_share', 'n_samples': 83}, {'mae': 6.0456764477780665, 'rmse': 7.658762863339715, 'r2': -0.10467737523911591, 'bias': -3.303191689228439, 'pearson_r': 0.31806903811772225, 'spearman_r': 0.17943470140895207, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 10.21230442893058, 'rmse': 10.933373636816771, 'r2': -9.212927225396793, 'bias': 10.18640078281624, 'pearson_r': 0.6827801648561278, 'spearman_r': 0.6049531123557369, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': 16.141888936853494, 'std_error': 13.160552186577672, 'median_error': 20.405986305779912, 'q25': 5.758846067807401, 'q75': 25.285225643290136, 'min_error': -17.654492550686015, 'max_error': 39.153304701420666, 'mae': 18.104912989735038, 'rmse': 20.776764996136365}, {'party': 'KPRF_share', 'mean_error': -3.303191689228439, 'std_error': 6.951822520003912, 'median_error': -3.126724498803007, 'q25': -7.092751558814475, 'q75': 1.7036330912060045, 'min_error': -21.96769686791152, 'max_error': 14.190077831082291, 'mae': 6.0456764477780665, 'rmse': 7.658762863339715}, {'party': 'LDPR_share', 'mean_error': 10.18640078281624, 'std_error': 3.9960339308123562, 'median_error': 10.406431834856408, 'q25': 8.056942593114396, 'q75': 12.288516858754344, 'min_error': -1.0750013137451138, 'max_error': 20.69783499339249, 'mae': 10.21230442893058, 'rmse': 10.933373636816771}]",332,83,"['GRP_per_capita_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
