region_name,Experiment,Model,region_mae,region_bias
Алтайский край,B,NaivePreviousElection,8.742486999763704,-0.35002296804900074
Амурская область,B,NaivePreviousElection,9.60530009410913,2.6455601573936307
Архангельская область,B,NaivePreviousElection,8.37974246035114,4.248345334401031
Астраханская область,B,NaivePreviousElection,5.857081154595295,-0.4875531114391028
Белгородская область,B,NaivePreviousElection,4.502598885970849,1.9644749630356628
Брянская область,B,NaivePreviousElection,1.0452532465350342,0.4305718205578361
Владимирская область,B,NaivePreviousElection,9.841759920547759,0.9845860078582968
Волгоградская область,B,NaivePreviousElection,4.346689876575599,-0.6796640664587995
Вологодская область,B,NaivePreviousElection,6.705560637104358,1.3906073703189517
Воронежская область,B,NaivePreviousElection,3.4198249782367625,0.7324331750831883
Еврейская автономная область,B,NaivePreviousElection,9.123813540327328,0.29465275319334633
Забайкальский край,B,NaivePreviousElection,6.704706075743928,3.9202858349835457
Ивановская область,B,NaivePreviousElection,8.202820068539902,1.2887896926178541
Иркутская область,B,NaivePreviousElection,5.571795034989525,2.859305679712676
Кабардино-Балкарская Республика,B,NaivePreviousElection,1.325513929155622,0.1370782562627961
Калининградская область,B,NaivePreviousElection,5.315026421265867,1.0602537239658851
Калужская область,B,NaivePreviousElection,7.897525495258595,3.6693625494243194
Камчатский край,B,NaivePreviousElection,11.307386731494647,3.467153512009377
Карачаево-Черкесская Республика,B,NaivePreviousElection,2.6098183003374573,-1.5989313349557943
Кемеровская область - Кузбасс,B,NaivePreviousElection,2.907398999178533,1.3401543935731393
Кировская область,B,NaivePreviousElection,8.62231205924643,5.3905699363493325
Костромская область,B,NaivePreviousElection,7.5539982715132945,2.722830421893324
Краснодарский край,B,NaivePreviousElection,4.261328415741705,1.2593549621389346
Красноярский край,B,NaivePreviousElection,7.156638694731542,1.3462444713037993
Курганская область,B,NaivePreviousElection,7.167699174777655,1.0046795486314337
Курская область,B,NaivePreviousElection,7.242981190804104,1.8819000759471887
Ленинградская область,B,NaivePreviousElection,6.837317347697305,1.3017783760860298
Липецкая область,B,NaivePreviousElection,6.631534908638035,1.5237259148377806
Магаданская область,B,NaivePreviousElection,7.290580463132021,-0.31955004498352163
Московская область,B,NaivePreviousElection,4.460501508083971,0.7351494005730072
Мурманская область,B,NaivePreviousElection,8.235553952290845,2.774987569693477
Ненецкий автономный округ,B,NaivePreviousElection,12.27724255290422,2.9481143044325315
Нижегородская область,B,NaivePreviousElection,6.616394930502483,2.0455234600700387
Новгородская область,B,NaivePreviousElection,6.836017505596928,2.9135393808534924
Новосибирская область,B,NaivePreviousElection,6.607164561605226,2.3134152190895
Омская область,B,NaivePreviousElection,6.100450765324287,1.8618489680296026
Оренбургская область,B,NaivePreviousElection,7.9535258657980235,2.4636067997924154
Орловская область,B,NaivePreviousElection,6.589240370584498,3.6464859739113837
Пензенская область,B,NaivePreviousElection,5.192099939212519,1.983140861018119
Пермский край,B,NaivePreviousElection,8.138473452563366,2.1237626703059416
Приморский край,B,NaivePreviousElection,8.18355087810878,0.9973081146087365
Псковская область,B,NaivePreviousElection,4.999088331429614,2.1556696854649413
Республика Адыгея (Адыгея),B,NaivePreviousElection,4.714394945291057,-0.5245827004769822
Республика Алтай,B,NaivePreviousElection,8.960639909302069,1.2834457479226444
Республика Башкортостан,B,NaivePreviousElection,5.642243099419315,-1.2848141425898305
Республика Бурятия,B,NaivePreviousElection,5.038282247009932,0.8843920574527656
Республика Дагестан,B,NaivePreviousElection,3.5097571063113904,1.6112044762063935
Республика Ингушетия,B,NaivePreviousElection,5.135993135327661,-3.8129797838496575
Республика Калмыкия,B,NaivePreviousElection,15.529929901573169,5.5447230562623195
Республика Карелия,B,NaivePreviousElection,5.6070855251586735,3.5439361033574177
Республика Коми,B,NaivePreviousElection,11.493687956926786,1.5892994555910167
Республика Марий Эл,B,NaivePreviousElection,8.384784686912061,2.0633781282381025
Республика Мордовия,B,NaivePreviousElection,9.494220977823284,2.3980667933706026
Республика Саха (Якутия),B,NaivePreviousElection,13.425343451232344,-0.7558241183116197
Республика Северная Осетия - Алания,B,NaivePreviousElection,5.1482738068113365,2.177667725784772
Республика Татарстан (Татарстан),B,NaivePreviousElection,4.066555989232174,-0.0866998330983814
Республика Тыва,B,NaivePreviousElection,1.278656384709393,-0.3926578141679553
Республика Хакасия,B,NaivePreviousElection,8.560380873343249,2.329825433939981
Ростовская область,B,NaivePreviousElection,8.3334252089062,2.269963956539815
Рязанская область,B,NaivePreviousElection,6.260427975699769,2.1735605874609427
Самарская область,B,NaivePreviousElection,7.080559922803847,2.0434338907779397
Саратовская область,B,NaivePreviousElection,7.590115071178019,0.49354038716445814
Сахалинская область,B,NaivePreviousElection,11.596996317503553,2.508178596960734
Свердловская область,B,NaivePreviousElection,7.943715360929244,1.391618609084721
Смоленская область,B,NaivePreviousElection,7.916233881749375,3.09550455009257
Ставропольский край,B,NaivePreviousElection,6.613579681835958,0.793450296725311
Тамбовская область,B,NaivePreviousElection,4.671777764566699,1.8255418054202481
Тверская область,B,NaivePreviousElection,8.107149563104644,2.7188760623456076
Томская область,B,NaivePreviousElection,9.028152848439378,2.2983417082869724
Тульская область,B,NaivePreviousElection,3.488872902817992,1.8326967229703701
Тюменская область,B,NaivePreviousElection,3.3826679064276295,2.4491054077137537
Удмуртская Республика,B,NaivePreviousElection,9.855336152702106,2.025825031535751
Ульяновская область,B,NaivePreviousElection,10.84419736194424,1.2303938059326764
Хабаровский край,B,NaivePreviousElection,10.821659396549236,3.843749243192999
Ханты-Мансийский автономный округ - Югра,B,NaivePreviousElection,8.01507309020951,2.413524985511772
Челябинская область,B,NaivePreviousElection,7.026589280227527,1.780005747290905
Чеченская Республика,B,NaivePreviousElection,0.3214161818787009,-0.23284555054464082
Чувашская Республика - Чувашия,B,NaivePreviousElection,9.59957516098869,3.37961643220903
Чукотский автономный округ,B,NaivePreviousElection,6.720427570907926,3.4585945857065785
Ямало-Ненецкий автономный округ,B,NaivePreviousElection,0.9167226676826535,-0.5793285969104183
Ярославская область,B,NaivePreviousElection,9.34265729202763,3.456306854437343
город Москва,B,NaivePreviousElection,10.305356073808497,-0.4983482969994804
город Санкт-Петербург,B,NaivePreviousElection,5.587530167952874,1.0813903067296353
Алтайский край,A,LinearRegression,10.806277683797424,1.250766004134551
Амурская область,A,LinearRegression,12.138992195841894,-1.4891808505045852
Архангельская область,A,LinearRegression,16.943774184232353,-2.0732915105759404
