model,experiment,feature_group,level,test_metrics,n_train,n_test,seeds,n_seeds
GRU,B,ALL_FEATURES,region,"[{'party': 'UR_share', 'mae': 7.288242244720459, 'n_samples': None}, {'party': 'KPRF_share', 'mae': 7.009217357635498, 'n_samples': None}, {'party': 'LDPR_share', 'mae': 6.640061950683593, 'n_samples': None}]",166,83,"[42, 123, 456, 789, 2026]",5
LSTM,B,ALL_FEATURES,region,"[{'party': 'UR_share', 'mae': 7.060906028747558, 'n_samples': None}, {'party': 'KPRF_share', 'mae': 6.979347991943359, 'n_samples': None}, {'party': 'LDPR_share', 'mae': 6.6481483459472654, 'n_samples': None}]",166,83,"[42, 123, 456, 789, 2026]",5
Transformer,B,ALL_FEATURES,region,"[{'party': 'UR_share', 'mae': 7.08575325012207, 'n_samples': None}, {'party': 'KPRF_share', 'mae': 7.066726398468018, 'n_samples': None}, {'party': 'LDPR_share', 'mae': 6.7651444435119625, 'n_samples': None}]",166,83,"[42, 123, 456, 789, 2026]",5
