model,experiment,feature_group,level,train_metrics,test_metrics,train_federal,test_federal,test_error_distribution,n_train,n_test,feature_columns,target_columns
LinearRegression,A,ALL_FEATURES,region,"[{'mae': 6.090704281229668, 'rmse': 7.745066986883619, 'r2': 0.7967900848818003, 'bias': -4.023555250689724e-15, 'pearson_r': 0.8926309903211966, 'spearman_r': 0.8589382044306257, 'party': 'UR_share', 'n_samples': 249}, {'mae': 2.641703246349328, 'rmse': 3.363259342682094, 'r2': 0.6998476728944827, 'bias': 1.0073156053145196e-14, 'pearson_r': 0.8365689887238722, 'spearman_r': 0.8176883015934707, 'party': 'KPRF_share', 'n_samples': 249}, {'mae': 1.8736677932271053, 'rmse': 2.36762035785173, 'r2': 0.7553997955492755, 'bias': -9.702189966202172e-16, 'pearson_r': 0.8691373858886037, 'spearman_r': 0.8466801399144968, 'party': 'LDPR_share', 'n_samples': 249}]","[{'mae': 13.11875340341944, 'rmse': 15.020416437111937, 'r2': -0.1685549747319195, 'bias': -12.312898409557256, 'pearson_r': 0.8595188316250006, 'spearman_r': 0.7377104235758364, 'party': 'UR_share', 'n_samples': 83}, {'mae': 18.504934564457685, 'rmse': 19.25370846038133, 'r2': -15.38759813941968, 'bias': 18.504934564457685, 'pearson_r': 0.6321987665088279, 'spearman_r': 0.5336257923680786, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 2.4840903920005566, 'rmse': 3.1637493256040163, 'r2': 0.761388066925872, 'bias': -0.34663176437238086, 'pearson_r': 0.8751106239778448, 'spearman_r': 0.8191511691364761, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': -12.312898409557256, 'std_error': 8.654937787122885, 'median_error': -12.234410909708139, 'q25': -18.415715086138412, 'q75': -7.448189371100204, 'min_error': -32.09921020517152, 'max_error': 12.857207698767539, 'mae': 13.11875340341944, 'rmse': 15.020416437111937}, {'party': 'KPRF_share', 'mean_error': 18.504934564457685, 'std_error': 5.3495303624817945, 'median_error': 19.85200244228613, 'q25': 16.459541613100097, 'q75': 22.00465859388749, 'min_error': 1.8143537898096724, 'max_error': 28.124843923662585, 'mae': 18.504934564457685, 'rmse': 19.25370846038133}, {'party': 'LDPR_share', 'mean_error': -0.34663176437238086, 'std_error': 3.1638197927863776, 'median_error': -0.3004339486172505, 'q25': -2.262840096048806, 'q75': 1.9568733003823358, 'min_error': -9.925551894818508, 'max_error': 6.625339653887486, 'mae': 2.4840903920005566, 'rmse': 3.1637493256040163}]",249,83,"['GRP_per_capita_lag1', 'KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'turnout_rate', 'turnout_rate_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
Ridge,A,ALL_FEATURES,region,"[{'mae': 6.18445469890479, 'rmse': 7.807955778514419, 'r2': 0.7934766182941415, 'bias': -1.6550794648227234e-15, 'pearson_r': 0.8915735370294174, 'spearman_r': 0.857427127866304, 'party': 'UR_share', 'n_samples': 249}, {'mae': 2.6970404581272924, 'rmse': 3.4810708833498345, 'r2': 0.678451318088144, 'bias': -6.848604682025062e-16, 'pearson_r': 0.8242979545880806, 'spearman_r': 0.8072452390205986, 'party': 'KPRF_share', 'n_samples': 249}, {'mae': 1.8780071446586852, 'rmse': 2.368787725432, 'r2': 0.7551585332700903, 'bias': -6.27788762518964e-16, 'pearson_r': 0.8690084471015005, 'spearman_r': 0.8460559657986786, 'party': 'LDPR_share', 'n_samples': 249}]","[{'mae': 12.43177933722991, 'rmse': 14.241238472714059, 'r2': -0.05046290134276066, 'bias': -11.740655665227075, 'pearson_r': 0.867581759182649, 'spearman_r': 0.7521934427605893, 'party': 'UR_share', 'n_samples': 83}, {'mae': 17.470273624855952, 'rmse': 18.170373932575686, 'r2': -13.595341209202644, 'bias': 17.470273624855952, 'pearson_r': 0.6469671483720538, 'spearman_r': 0.5355988413584651, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 2.4796615939879736, 'rmse': 3.1655336194228303, 'r2': 0.7611188459403074, 'bias': -0.30499849753151204, 'pearson_r': 0.8746197013406625, 'spearman_r': 0.8174719785063599, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': -11.740655665227075, 'std_error': 8.109389210665261, 'median_error': -11.55438568356118, 'q25': -17.645480560940968, 'q75': -6.747411938202056, 'min_error': -30.574924822573955, 'max_error': 11.456817856396668, 'mae': 12.43177933722991, 'rmse': 14.241238472714059}, {'party': 'KPRF_share', 'mean_error': 17.470273624855952, 'std_error': 5.025566769092732, 'median_error': 18.34698275499516, 'q25': 15.612019579477774, 'q75': 20.555166030173186, 'min_error': 1.5068696447272316, 'max_error': 26.267678953660404, 'mae': 17.470273624855952, 'rmse': 18.170373932575686}, {'party': 'LDPR_share', 'mean_error': -0.30499849753151204, 'std_error': 3.1699601021044206, 'median_error': -0.19622967259536495, 'q25': -2.222527841539531, 'q75': 2.0435573960262667, 'min_error': -9.869467969008994, 'max_error': 6.600057597136277, 'mae': 2.4796615939879736, 'rmse': 3.1655336194228303}]",249,83,"['GRP_per_capita_lag1', 'KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'turnout_rate', 'turnout_rate_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
ElasticNet,A,ALL_FEATURES,region,"[{'mae': 6.203600825334623, 'rmse': 7.819506019085423, 'r2': 0.7928651499004348, 'bias': -9.131472909366749e-16, 'pearson_r': 0.891249907014594, 'spearman_r': 0.8570221531286437, 'party': 'UR_share', 'n_samples': 249}, {'mae': 2.727972014541782, 'rmse': 3.5199632881099987, 'r2': 0.6712261493432248, 'bias': -6.848604682025062e-16, 'pearson_r': 0.8220348328882239, 'spearman_r': 0.8019253789350952, 'party': 'KPRF_share', 'n_samples': 249}, {'mae': 1.8749257991125166, 'rmse': 2.369846167602181, 'r2': 0.7549396800325869, 'bias': -7.704680267278195e-16, 'pearson_r': 0.8688937127363747, 'spearman_r': 0.8459090555771474, 'party': 'LDPR_share', 'n_samples': 249}]","[{'mae': 12.364490765474578, 'rmse': 14.163220372377157, 'r2': -0.03898487829082731, 'bias': -11.651172164298432, 'pearson_r': 0.8679723131119578, 'spearman_r': 0.7496116871667855, 'party': 'UR_share', 'n_samples': 83}, {'mae': 16.214832659240983, 'rmse': 16.901414288140668, 'r2': -11.627943127908775, 'bias': 16.214832659240983, 'pearson_r': 0.644918601503932, 'spearman_r': 0.5362285378447588, 'party': 'KPRF_share', 'n_samples': 83}, {'mae': 2.4668402879250166, 'rmse': 3.148169705878362, 'r2': 0.7637323297480438, 'bias': -0.29600393852982193, 'pearson_r': 0.8763110083707937, 'spearman_r': 0.8199697745686578, 'party': 'LDPR_share', 'n_samples': 83}]",{},{},"[{'party': 'UR_share', 'mean_error': -11.651172164298432, 'std_error': 8.101716828515448, 'median_error': -11.67992642423441, 'q25': -17.612988026536634, 'q75': -6.415185412898147, 'min_error': -30.911451935940093, 'max_error': 11.489896609855109, 'mae': 12.364490765474578, 'rmse': 14.163220372377157}, {'party': 'KPRF_share', 'mean_error': 16.214832659240983, 'std_error': 4.7973208504924765, 'median_error': 17.029413852518793, 'q25': 14.340829911331992, 'q75': 19.19948994756895, 'min_error': 0.7384493800874665, 'max_error': 24.615550764270015, 'mae': 16.214832659240983, 'rmse': 16.901414288140668}, {'party': 'LDPR_share', 'mean_error': -0.29600393852982193, 'std_error': 3.1532762592900068, 'median_error': -0.16668442115423732, 'q25': -2.11169862138198, 'q75': 2.0147223871117443, 'min_error': -9.83627302266132, 'max_error': 6.51146024026897, 'mae': 2.4668402879250166, 'rmse': 3.148169705878362}]",249,83,"['GRP_per_capita_lag1', 'KPRF_share_lag1', 'LDPR_share_lag1', 'UR_share_lag1', 'age_working_share_lag1', 'average_salary_lag1', 'birth_rate_lag1', 'death_rate_lag1', 'doctors_per_1000_lag1', 'hospital_beds_per_1000_lag1', 'housing_area_per_capita_lag1', 'migration_rate_lag1', 'natural_population_growth_lag1', 'population_lag1', 'poverty_rate_lag1', 'real_disposable_income_lag1', 'turnout_rate', 'turnout_rate_lag1', 'unemployment_rate_lag1', 'urban_population_share_lag1']","['UR_share', 'KPRF_share', 'LDPR_share']"
