model,experiment,feature_group,level,test_metrics,n_train,n_test,seeds,n_seeds
MLPSklearn,B,ALL_FEATURES,region,"[{'party': 'UR_share', 'mae': 12.643622101810447, 'n_samples': None}, {'party': 'KPRF_share', 'mae': 9.921403199257819, 'n_samples': None}, {'party': 'LDPR_share', 'mae': 4.446907630823109, 'n_samples': None}]",249,83,"[42, 123, 456, 789, 2026]",5
MLPTorch,B,ALL_FEATURES,region,"[{'party': 'UR_share', 'mae': 13.65314161270274, 'n_samples': None}, {'party': 'KPRF_share', 'mae': 10.739415845051761, 'n_samples': None}, {'party': 'LDPR_share', 'mae': 3.7689394302787655, 'n_samples': None}]",249,83,"[42, 123, 456, 789, 2026]",5
