region_name,Experiment,region_mae,region_bias
Челябинская область,B,8.56,3.907
Чеченская Республика,A,9.298,5.004
Чеченская Республика,B,3.649,1.681
Чувашская Республика - Чувашия,A,3.295,1.175
Чувашская Республика - Чувашия,B,8.588,3.248
Чукотский автономный округ,A,9.39,3.843
Чукотский автономный округ,B,6.309,5.169
Ямало-Ненецкий автономный округ,A,10.791,6.47
Ямало-Ненецкий автономный округ,B,4.696,0.076
Ярославская область,A,8.266,4.193
Ярославская область,B,11.355,4.826
город Москва,A,11.016,9.067
город Москва,B,13.813,3.117
город Санкт-Петербург,A,7.661,6.192
город Санкт-Петербург,B,7.668,4.967
